escenario,n_repeticiones,n_convergieron,tasa_convergencia,tasa_deteccion_efecto,or_true,or_estimado_promedio,or_estimado_mediana
con_efecto,300,292,0.9733333333333334,0.4212328767123288,2.5,2.97276315718926,2.3949951295340943
nulo,300,299,0.9966666666666667,0.0802675585284281,1.0,1.1672198713197113,0.9986887253831769
