or_estimado,ic_inf,ic_sup,p_valor,convergio,repeticion,significativo
3.919165513507181,1.7054624437475192,9.006271805383662,0.001292990655818358,True,0,True
4.647627960686245,2.0029274478268184,10.784437391573581,0.00034703923936267773,True,1,True
2.760224334742192,1.000418666673941,7.615649959264635,0.04990138066211396,True,2,True
1.3541311538918275,0.4859060032093725,3.7737158418071655,0.5620780714658838,True,3,False
6.030041128009955,1.7978759518990048,20.22464117565223,0.0036132637682777845,True,4,True
0.8977086899914338,0.4223794350935472,1.9079548508502848,0.7790712091076697,True,5,False
3.114381115652911,1.3681584797006037,7.089361267313126,0.006790997389228683,True,6,True
4.485366570298374,1.7377747014789944,11.57717007436443,0.001920501055697424,True,7,True
5.263433053375413,1.9479553207569238,14.221952224550963,0.0010574663157452912,True,8,True
3.4832060402521896,0.9360678605017768,12.961372600001052,0.06268014003840548,True,9,False
1.977655949981246,0.6399286980509592,6.111810688297606,0.23619278209993588,True,10,False
2.0885394943054565,0.6084585443270235,7.1689308334033095,0.2418312152298906,True,11,False
2.594922489592733,1.1466419683517317,5.872471889960174,0.022114860288819628,True,12,True
2.3843282266122787,0.8209237602669616,6.925151113145153,0.11020531451296875,True,13,False
1.7632099175219436,0.47778627640265114,6.506903539916092,0.3945940174294288,True,14,False
1.839734467404174,0.7625599058853525,4.438501007504823,0.17487001196064286,True,15,False
2.537498613915332,0.7759269203232168,8.298332029696907,0.12347771370713298,True,16,False
2.86207960937418,0.9401418149255908,8.713046862024521,0.06412218733063992,True,18,False
6.178591237074205,1.4426177831823983,26.462303542825158,0.014136540862490955,True,19,True
1.4184243572851432,0.3765105828711991,5.343615156836199,0.605479615079141,True,20,False
0.5408472023271865,0.2547868550533165,1.1480800145829075,0.10950516966914842,True,21,False
4.8050945780297045,1.0406134118749584,22.187811189372667,0.044325103378149176,True,23,True
8.641708773586092,2.0006375694318925,37.327665774406604,0.0038651837366643145,True,24,True
1.7779555771791997,0.5683159611838899,5.562268615221554,0.3227001200469759,True,25,False
4.072594930498173,1.7296651760301565,9.589156154480063,0.0013086107011837976,True,26,True
6.098057017423761,2.520983613265546,14.750710473513173,6.028234379783465e-05,True,27,True
2.314658379162648,0.5573691533818239,9.612378761401636,0.2479533379181503,True,28,False
2.5007125029411195,0.8970704668357471,6.9710945277513625,0.0797161283099042,True,29,False
3.30780342513041,1.193624682805697,9.166669939821933,0.021428720263797742,True,30,True
3.134793348396497,0.9671802496323159,10.16039082775598,0.056860773356742604,True,31,False
1.293909162748066,0.40104670181706653,4.174578456468821,0.6663570071736937,True,32,False
2.845049748926283,0.8470935456466807,9.55538867633116,0.09073444046455696,True,33,False
6.2875131433976446,2.62652494410179,15.051378673244407,3.6549301874683845e-05,True,34,True
1.9617904289188974,0.6523635881556813,5.899504136762687,0.23029886670456678,True,35,False
1.8886570104664577,0.4306619294267723,8.282657600898103,0.3991935464951699,True,36,False
2.783167044872364,1.136465901459556,6.815883159992223,0.02509503534403651,True,37,True
2.2682771578392464,0.7920775443570437,6.495678739323088,0.12706894217393463,True,38,False
2.105028521179735,0.8889257948556497,4.984831243084472,0.09058814501226661,True,39,False
6.122089160614798,2.5974537712076162,14.429506351942466,3.441207690503528e-05,True,40,True
0.9142787202797181,0.40206714382949343,2.0790198631868453,0.8306891423335897,True,41,False
1.4243575778089537,0.6451989150068913,3.1444481109211413,0.38132308481657534,True,42,False
2.3081832214795526,0.9598172618041079,5.5507542903589435,0.06170755927503866,True,43,False
2.1078341889993673,0.7779874472329904,5.7108440298318195,0.14255955433560788,True,44,False
1.4225270474589495,0.3031406695043587,6.675393321723795,0.6550089004803783,True,45,False
1.811441038553689,0.6569599714226956,4.994701015117449,0.2509214075477374,True,46,False
3.8507429659779135,1.1976338395120731,12.381264540812845,0.023656679881782484,True,47,True
1.6400103293493715,0.6237716243858483,4.311888799078971,0.3158391728600498,True,48,False
1.7155084431433134,0.504931931902328,5.828447425395294,0.38708365248610227,True,49,False
2.994036156462858,1.3268345909460673,6.756119087772004,0.00826423339026051,True,50,True
3.528008517739803,1.5957102589882048,7.800190561622881,0.0018429793169012245,True,51,True
1.9910247880355034,0.8033565480998227,4.934520937120991,0.13697329798590266,True,52,False
0.8472426423207623,0.17783537222642792,4.0364303567948605,0.8351335523054972,True,53,False
1.47209930001899,0.6036983748702215,3.589667355957786,0.3951711550536596,True,54,False
2.913757371061157,1.3104171978519725,6.478838976876943,0.008713513781863491,True,55,True
1.5214614900335626,0.5474770134713431,4.228205036367824,0.4209549511169591,True,56,False
4.265474078475143,1.9743855953975809,9.21515491024417,0.000223463399802149,True,57,True
2.037280593312332,0.8191364261543932,5.066936450833341,0.12581236032833512,True,58,False
1.4698369753546827,0.43597950931609675,4.955326312258955,0.5344975926076521,True,59,False
3.2922761068911828,1.2039682217526773,9.0027973896417,0.020250882455994056,True,60,True
3.7755802840024786,1.041008780377156,13.693454608311438,0.043265092099347244,True,61,True
1.3865706432390892,0.4236515497668193,4.538111921815609,0.5890063434697685,True,62,False
2.101649802702683,0.9394978263072867,4.701375319367218,0.07059548804016925,True,63,False
2.607013360625807,0.9315511367093128,7.2959158060716245,0.06800725322257777,True,64,False
2.0355795465433535,0.726557425659953,5.703037287853619,0.17629001878895526,True,65,False
2.9668431507435216,1.2154740050104254,7.24174951075013,0.016912935381167067,True,66,True
4.491135967765746,1.5429986415826737,13.072145196621966,0.0058567034843203785,True,67,True
3.857214264732197,1.579455084904728,9.419768897670798,0.0030428798156533457,True,68,True
2.2429044306831956,0.8108795114957876,6.203906022854844,0.1196738709838809,True,69,False
2.0961328185475288,0.7204730206997686,6.098455690574644,0.17436861756820254,True,70,False
1.1065990528546863,0.5283817183060082,2.317569706432752,0.788263982658459,True,72,False
1.2775905023359055,0.45040774045717036,3.623910836883414,0.64512597854426,True,73,False
2.0225385310909605,0.6201905219895344,6.595815261131334,0.24285421442694968,True,74,False
2.298387554997454,0.9058092637920231,5.8318959234888945,0.07981445065375209,True,75,False
1.5895270923477998,0.4008524776882982,6.30305790269388,0.5096635121735983,True,76,False
1.9145737233215103,0.6992125662643103,5.242458043363532,0.20630532528917578,True,77,False
2.853696420257753,1.4262604000450974,5.7097450498761795,0.0030427193618278864,True,78,True
2.7873190218581683,1.19851984702888,6.482285085951662,0.017287372357946435,True,79,True
5.115789950533296,1.406517454099782,18.607168181021947,0.013219588740157618,True,80,True
1.6970405085635492,0.5438767270673022,5.295219200194329,0.36230810350770143,True,81,False
2.00728186086725,0.717325113071167,5.6169516381715585,0.1844448320173539,True,82,False
2.5984177707590623,0.9700474146433069,6.960252467534454,0.057497807208034275,True,83,False
2.7620223328077085,1.3197715615618721,5.7803695647906945,0.0070097919973960395,True,84,True
3.4331469839642614,1.5161587408190762,7.7739209597112975,0.0030958062429231313,True,86,True
2.091099208368898,0.8722491076575132,5.013127397727259,0.09820561324052841,True,87,False
3.3023070948999904,1.4145332943356352,7.709420621413283,0.005749533401225106,True,88,True
3.436399405947871,1.2706849656902997,9.293287633086718,0.015017699708254877,True,89,True
2.6485691328040106,1.3419309723315271,5.2274808435594675,0.0049875006532273695,True,90,True
1.6330292646065376,0.5716731357592866,4.664876504157206,0.35976692217586864,True,91,False
7.026263238818932,2.1935528560477797,22.506125149921157,0.001028725016476848,True,92,True
3.649038172488493,1.2129488962500083,10.977774599939634,0.02124803391962364,True,94,True
1.8204739336561098,0.8358224359880637,3.9651069418872105,0.13144000282933027,True,95,False
5.770902086519951,1.296254487427506,25.691954176600554,0.021416376546132525,True,96,True
1.382202550683851,0.4929904990019576,3.8752955584025504,0.5383119179366757,True,97,False
2.0402077721223506,0.8842336391206613,4.7074071481467845,0.09460781770395255,True,98,False
2.181887645488009,0.8014247882798076,5.940212690140915,0.12681082744494088,True,99,False
2.7122740704981285,0.9279206136534228,7.927866376987399,0.06825823206925853,True,100,False
3.8616090565632604,1.61086115434723,9.257175558233758,0.002455279460124278,True,101,True
7.484679833024149,1.762258220667982,31.789003192530963,0.00637464674271821,True,102,True
1.7643863452472552,0.6468201312198273,4.812866862112193,0.26742012379477725,True,103,False
1.4050287119024014,0.6215449621668713,3.176126911861473,0.413813474616576,True,104,False
0.8783723011303189,0.25609249637897125,3.0127313775380324,0.8366131229547094,True,105,False
2.648938952983833,0.9338612631827603,7.513832999904458,0.06704673512715119,True,106,False
2.111670033070227,0.7785703394402639,5.727357057774155,0.14201568814572246,True,107,False
2.229538659235793,0.5471686882902619,9.084662078452133,0.26327548066139456,True,108,False
2.5570604954615077,0.5434449605826468,12.031684626240029,0.23475090541984467,True,109,False
1.1101339726520538,0.28106279125184064,4.384776198041689,0.8814920794282285,True,110,False
1.6220944212021235,0.7261554707841865,3.623453126991647,0.2381434464358215,True,111,False
3.086489244436678,1.0562377668126992,9.019196392465858,0.039398005281490366,True,112,True
2.232804394617783,0.9138277613768652,5.455530763382537,0.07801905103884386,True,113,False
1.310403630554074,0.33354500873699083,5.148203780567807,0.6985830824952047,True,114,False
1.6039963039677574,0.36086603047969024,7.129527098248239,0.5347223435563155,True,115,False
1.959643375922968,0.20947441281112786,18.332559615580724,0.5553633846955561,True,116,False
2.5340139134009196,0.8962266017279913,7.164735459680446,0.07953475335563244,True,117,False
1.4943249343452942,0.7764867793636838,2.8757823941780107,0.22913127959012472,True,118,False
0.7927013234263751,0.19182250217622068,3.275816867328005,0.748281970694141,True,119,False
1.8597931943440913,0.8055540438935072,4.293728958284331,0.14609073089110225,True,120,False
1.2337754733199855,0.4957249866990171,3.0706580451030794,0.651572942053313,True,121,False
1.7354736845489096,0.550181578053036,5.474317988653979,0.34692762975393077,True,122,False
5.7747605522820855,2.4443367702590697,13.642907082995286,6.398004569721731e-05,True,123,True
1.3959613954748828,0.3957245946321254,4.9244051142885015,0.6040033205362054,True,124,False
1.3942363385070162,0.6131384773788613,3.170401205162514,0.4278194282280241,True,125,False
5.647273959812395,2.1462161619410973,14.859501919103726,0.0004528483144104075,True,126,True
4.5437410796326265,1.4741396425069262,14.005174546171983,0.008396245987911527,True,127,True
10.066985991769418,4.219992604795907,24.015257003840897,1.930620245214215e-07,True,128,True
1.4713816644444375,0.5647971064635751,3.833171200219147,0.42919963549439716,True,129,False
2.871614080084359,1.0548904005044932,7.817084524605659,0.03896219421389789,True,130,True
5.6778090427079375,2.454635867600635,13.1333188563596,4.932268388526549e-05,True,131,True
2.7136571392446602,0.9349968289278408,7.8758930956137325,0.06630390686421292,True,132,False
2.603409184308747,1.2730902302471139,5.323848396533167,0.008753794670903588,True,133,True
3.3929894840088433,1.3976771524788103,8.23679318086952,0.006935707580293762,True,135,True
1.769546822612647,0.5932103487178809,5.278559223024778,0.3060695667915352,True,136,False
7.5900874732849575,2.915326560929566,19.76088326576635,3.29997270612092e-05,True,137,True
6.6853072001136296,1.5683849418705267,28.496404911021312,0.010217069250672929,True,138,True
1.7648801988317702,0.7427680688395929,4.193505680844147,0.19825434554494203,True,139,False
1.5501866299681535,0.666386420508847,3.6061337893065866,0.308814165884438,True,140,False
5.97405515502252,1.6816556336528083,21.222736855897523,0.005715579802472161,True,141,True
2.304684691017645,0.9867069671525581,5.383129644193397,0.05372075934264019,True,142,False
1.2458412763355209,0.545621391260342,2.844684080724997,0.6018010372237828,True,143,False
2.377517927010569,1.1184376572151171,5.054006771670626,0.02439074124686947,True,144,True
4.182460333869192,1.032304563323518,16.945555668251952,0.04501228033160081,True,145,True
3.0616649549729904,1.2250470170010381,7.651781659333504,0.016650669005512892,True,146,True
0.6710643426795091,0.21730838064544022,2.072296294686556,0.48806778943096424,True,147,False
1.3228645631855627,0.5330011839932028,3.28323970956591,0.5463175113500889,True,148,False
3.0857672896222677,1.3965847810359702,6.818032027127977,0.005338987716839019,True,149,True
3.597708697418148,1.518903695956685,8.521611940199863,0.0036134138062661205,True,150,True
2.0233231182462794,0.5608157554034182,7.299788569393845,0.28169279613620896,True,151,False
2.3454940295814795,0.6364717256602689,8.643498243532079,0.2001749663464704,True,152,False
2.154317816090794,0.793074891986009,5.852013850929078,0.13225074291120567,True,153,False
2.1766212755285306,0.9449173577937876,5.013856648950846,0.06771236528201457,True,154,False
1.3082401304967568,0.612105312687745,2.7960747988398182,0.4880935640512037,True,155,False
2.829989545748704,1.220383067438986,6.562563053135253,0.015346143760307223,True,156,True
2.9063698691468125,1.3840960294341895,6.102889999429837,0.0048206520510680455,True,157,True
3.002659447552975,1.0863659053341892,8.299196167432774,0.03403118557564541,True,158,True
4.259290395698782,1.6726566813160682,10.845952356832651,0.002376009834889828,True,159,True
3.2598400997581125,1.2347521064264786,8.606227453011211,0.01704508883064481,True,160,True
1.5355822742676963,0.5310892146797469,4.4399563310037475,0.4284876274525987,True,161,False
2.280712836957623,0.9468641063321772,5.493556055063361,0.06602330837372823,True,162,False
1.0434602433085804,0.3535474606492597,3.0796693529239234,0.9385886676658867,True,163,False
2.0124577865270794,0.9495271768773236,4.265266378022501,0.06802225600261669,True,164,False
4.126411456450017,1.197055589453361,14.224294726110012,0.024776677186848062,True,165,True
